1456683629.916026,2255168,-31
1456683630.237017,2576140,-23
1456683630.558033,2897116,-24
1456683630.879096,3218112,-25
1456683631.200049,3539088,-23
1456683631.521036,3860084,-23
1456683631.842040,4181068,-24
1456683632.163062,4502040,-26
1456683632.484076,4823012,-26
1456683632.805077,5143980,-23
1456683633.126070,5464944,-24
1456683633.447061,5785916,-23
1456683633.768092,6106896,-23
1456683634.089103,6427868,-23
1456683634.409102,6748848,-25
1456683634.730102,7069828,-26
1456683635.051118,7390804,-28
1456683635.371116,7711792,-23
1456683635.692133,8032764,-23
1456683636.013135,8353736,-23
1456683636.334113,8674716,-23
1456683636.655140,8995688,-23
1456683636.976155,9316660,-23
1456683637.297155,9637632,-24
1456683637.618157,9958596,-25
1456683637.940143,10279592,-25
1456683638.261175,10600572,-27
1456683638.582177,10921564,-23
1456683638.903184,11242552,-24
1456683639.224185,11563532,-24
1456683639.545180,11884520,-25
1456683639.866203,12205500,-30
1456683640.187208,12526468,-28
1456683640.507215,12847436,-26
1456683640.828195,13168420,-25
1456683641.148232,13489388,-25
1456683641.469226,13810372,-24
1456683641.790235,14131340,-24
1456683642.111239,14452332,-28
1456683642.432241,14773304,-27
1456683642.753266,15094284,-24
1456683643.074262,15415244,-24
1456683643.395268,15736228,-29
1456683643.716275,16057212,-34
1456683644.037247,16378192,-38
1456683644.358284,16699164,-31
1456683644.679287,17020140,-36
1456683645.000374,17341124,-38
1456683645.321282,17662092,-36
1456683645.641297,17983072,-38
1456683645.962312,18304052,-36
1456683646.283317,18625036,-35
1456683646.604366,18946028,-36
1456683646.925321,19267024,-49
1456683647.246340,19588012,-31
1456683647.567339,19909000,-31
1456683647.887341,20229976,-36
1456683648.208356,20550952,-34
1456683648.529325,20871936,-32
1456683648.850364,21192904,-38
1456683649.171462,21513876,-34
1456683649.492376,21834856,-33
1456683649.813381,22155836,-34
1456683650.134366,22476820,-34
1456683650.455407,22797788,-35
1456683650.775394,23118764,-36
1456683651.096407,23439744,-39
1456683651.417388,23760720,-39
1456683651.738395,24081704,-37
1456683652.059435,24402688,-34
1456683652.380427,24723680,-35
1456683652.701433,25044664,-35
1456683653.022450,25365632,-44
1456683653.343440,25686608,-40
1456683653.663459,26007584,-46
1456683653.984455,26328568,-51
1456683654.305460,26649536,-45
1456683654.626457,26970512,-41
1456683654.947469,27291496,-40
1456683655.268475,27612492,-39
1456683655.589479,27933468,-29
1456683655.909486,28254456,-34
1456683656.230491,28575436,-40
1456683656.551503,28896416,-52
1456683656.872484,29217404,-43
1456683657.193506,29538380,-34
1456683657.515703,29859360,-30
1456683657.835517,30180344,-27
1456683658.156537,30501324,-29
1456683658.477525,30822296,-30
1456683658.798539,31143288,-28
1456683659.119539,31464264,-32
1456683659.440528,31785236,-27
1456683659.761560,32106212,-27
1456683660.082562,32427196,-29
1456683660.403575,32748188,-28
1456683660.723573,33069180,-29
1456683661.043565,33390156,-29
1456683661.364587,33711148,-30
1456683661.685588,34032120,-30
1456683662.006597,34353096,-30
1456683662.327604,34674080,-29
1456683662.648606,34995056,-27
1456683662.969611,35316036,-28
